Provinces Autonomous Regions and Municipalities,Number of Regions at Prefecture Level,Cities at Pre- fecture Level,Number of Regions at County Level,Districts under the Juris- diction of Cities,Cities at County Level,Counties,Auto- nomous Counties,Number of Regions at Town- ships Level,Towns,Towns,Street Commu- nities
National Total,332.0,284.0,2853.0,857.0,369.0,1456.0,117.0,40466.0,19683.0,13587.0,7194.0
Beijing,,,16.0,14.0,,2.0,,322.0,144.0,38.0,140.0
Tianjin,,,16.0,13.0,,3.0,,244.0,123.0,11.0,110.0
Hebei,11.0,11.0,172.0,36.0,22.0,108.0,6.0,2233.0,1013.0,946.0,273.0
Shanxi,11.0,11.0,119.0,23.0,11.0,85.0,,1397.0,564.0,632.0,201.0
Inner Mongolia,12.0,9.0,101.0,21.0,11.0,17.0,,909.0,477.0,192.0,240.0
Liaoning,14.0,14.0,100.0,56.0,17.0,19.0,8.0,1508.0,607.0,290.0,611.0
Jilin,9.0,8.0,60.0,20.0,20.0,17.0,3.0,898.0,428.0,190.0,280.0
Heilongjiang,13.0,12.0,128.0,64.0,18.0,45.0,1.0,1278.0,478.0,417.0,383.0
Shanghai,,,17.0,16.0,,1.0,,209.0,108.0,2.0,99.0
Jiangsu,13.0,13.0,104.0,55.0,25.0,24.0,,1300.0,860.0,96.0,344.0
Zhejiang,11.0,11.0,90.0,32.0,22.0,35.0,1.0,1346.0,654.0,290.0,402.0
Anhui,16.0,16.0,105.0,43.0,6.0,56.0,,1522.0,914.0,343.0,265.0
Fujian,9.0,9.0,85.0,26.0,14.0,45.0,,1102.0,600.0,329.0,173.0
Jiangxi,11.0,11.0,100.0,19.0,11.0,70.0,,1539.0,794.0,602.0,143.0
Shandong,17.0,17.0,140.0,49.0,31.0,60.0,,1857.0,1118.0,128.0,611.0
Henan,17.0,17.0,159.0,50.0,21.0,88.0,,2381.0,1011.0,852.0,518.0
Hubei,13.0,12.0,103.0,38.0,24.0,38.0,2.0,1233.0,742.0,194.0,297.0
Hunan,14.0,13.0,122.0,35.0,16.0,64.0,7.0,2426.0,1121.0,1038.0,267.0
Guangdong,21.0,21.0,121.0,54.0,23.0,41.0,3.0,1585.0,1132.0,11.0,442.0
Guangxi,14.0,14.0,109.0,34.0,7.0,56.0,12.0,1235.0,702.0,424.0,109.0
Hainan,2.0,2.0,20.0,4.0,6.0,4.0,6.0,222.0,183.0,21.0,18.0
Chongqing,,,38.0,19.0,,15.0,4.0,1012.0,598.0,225.0,189.0
Sichuan,21.0,18.0,181.0,44.0,14.0,119.0,4.0,4672.0,1816.0,2579.0,277.0
Guizhou,9.0,6.0,88.0,13.0,7.0,56.0,11.0,1558.0,694.0,751.0,113.0
Yunnan,16.0,8.0,129.0,13.0,11.0,76.0,29.0,1362.0,577.0,667.0,118.0
Tibet,7.0,1.0,73.0,1.0,1.0,71.0,,692.0,140.0,542.0,10.0
Shaanxi,10.0,10.0,107.0,24.0,3.0,80.0,,1418.0,1137.0,82.0,199.0
Gansu,14.0,12.0,86.0,17.0,4.0,58.0,7.0,1353.0,468.0,759.0,126.0
Qinghai,8.0,1.0,43.0,4.0,2.0,30.0,7.0,396.0,137.0,229.0,30.0
Ningxia,5.0,5.0,22.0,9.0,2.0,11.0,,237.0,101.0,92.0,44.0
Xinjiang,14.0,2.0,99.0,11.0,20.0,62.0,6.0,1020.0,242.0,615.0,162.0
Hong Kong,,,,,,,,,,,
Special Admi-,,,,,,,,,,,
nistrative Region,,,,,,,,,,,
Macao Special,,,,,,,,,,,
Administrative,,,,,,,,,,,
Region,,,,,,,,,,,
Taiwan,,,,,,,,,,,
