Region,Issuing Institutions unit,State- owned Book Store and Issuing Spots,Supply and Marketing Coopera- tives,Press,Online Bookstore,Cultural Educational Broad- casting and Postal Systems,Spots Outside Xinhua Bookstore,Wholesale and Personal Retail,Collective Engaged in Own Issuance of Presses of Xinhua Book- store System,Persons Bookstores and Issuing Spots,State-owned
National,168586.0,9513.0,997.0,447.0,101.0,36455.0,7141.0,113932.0,147294.0,138414.0,
Central Level,151.0,4.0,EMPTY,147.0,EMPTY,EMPTY,EMPTY,EMPTY,2655.0,918.0,
Local Government,168435.0,9509.0,997.0,300.0,101.0,36455.0,7141.0,113932.0,144639.0,137496.0,
Beijing,8773.0,124.0,EMPTY,17.0,62.0,2400.0,1418.0,4752.0,4766.0,4263.0,
Tianjin,2962.0,79.0,EMPTY,13.0,EMPTY,EMPTY,160.0,2710.0,1894.0,1780.0,
Hebei,5234.0,340.0,EMPTY,7.0,EMPTY,874.0,381.0,3632.0,3356.0,2573.0,
Shanxi,3225.0,412.0,26.0,EMPTY,EMPTY,445.0,122.0,2220.0,5880.0,5850.0,
Inner Mongolia,1946.0,227.0,EMPTY,7.0,EMPTY,EMPTY,49.0,1663.0,2132.0,2072.0,
Liaoning,4848.0,208.0,EMPTY,12.0,EMPTY,487.0,277.0,3864.0,6194.0,5899.0,
Jilin,2597.0,111.0,EMPTY,4.0,14.0,243.0,237.0,1988.0,2909.0,2817.0,
Heilongjiang,3031.0,239.0,59.0,5.0,1.0,582.0,138.0,2007.0,3943.0,3821.0,
Shanghai,8982.0,150.0,EMPTY,45.0,14.0,2390.0,389.0,5994.0,3324.0,2838.0,
Jiangsu,12045.0,906.0,EMPTY,18.0,2.0,1683.0,239.0,9197.0,6107.0,5969.0,
Zhejiang,11066.0,477.0,EMPTY,14.0,1.0,2614.0,367.0,7593.0,6805.0,6695.0,
Anhui,8858.0,607.0,EMPTY,11.0,2.0,3580.0,329.0,4329.0,3832.0,3932.0,
Fujian,4340.0,233.0,EMPTY,5.0,EMPTY,1301.0,158.0,2643.0,3932.0,3832.0,
Jiangxi,3238.0,205.0,23.0,6.0,EMPTY,21.0,159.0,2824.0,4026.0,3851.0,
Shandong,7626.0,810.0,170.0,5.0,EMPTY,920.0,161.0,5560.0,10318.0,10004.0,
Henan,8498.0,1050.0,EMPTY,12.0,EMPTY,2310.0,283.0,4843.0,14197.0,14030.0,
Hubei,5560.0,234.0,3.0,16.0,EMPTY,664.0,201.0,4442.0,5305.0,4963.0,
Hunan,8132.0,390.0,EMPTY,14.0,EMPTY,5003.0,174.0,2551.0,9778.0,8672.0,
Guangdong,13142.0,416.0,635.0,19.0,EMPTY,EMPTY,489.0,11583.0,10211.0,8772.0,
Guangxi,5051.0,255.0,81.0,23.0,EMPTY,1924.0,119.0,2649.0,4568.0,4204.0,
Hainan,696.0,28.0,EMPTY,4.0,EMPTY,362.0,42.0,260.0,974.0,950.0,
Chongqing,3321.0,267.0,EMPTY,4.0,EMPTY,620.0,134.0,2296.0,2577.0,2562.0,
Sichuan,9820.0,242.0,EMPTY,EMPTY,1.0,3389.0,224.0,5964.0,8511.0,8511.0,
Guizhou,3317.0,222.0,EMPTY,2.0,1.0,672.0,115.0,2305.0,1725.0,1684.0,
Yunnan,11020.0,309.0,EMPTY,7.0,EMPTY,1736.0,121.0,8847.0,5695.0,5684.0,
Tibet,131.0,52.0,EMPTY,1.0,EMPTY,8.0,EMPTY,70.0,299.0,295.0,
Shaanxi,4714.0,205.0,EMPTY,25.0,EMPTY,1597.0,269.0,2618.0,4287.0,3997.0,
Gansu,2204.0,323.0,EMPTY,3.0,EMPTY,80.0,179.0,1619.0,3136.0,3032.0,
Qinghai,534.0,61.0,EMPTY,EMPTY,EMPTY,93.0,28.0,352.0,734.0,734.0,
Ningxia,939.0,31.0,EMPTY,1.0,1.0,457.0,32.0,417.0,456.0,442.0,
Xinjiang,2585.0,296.0,EMPTY,EMPTY,2.0,EMPTY,147.0,2140.0,2768.0,2768.0,
