text,row_id,group,yearbook_source
"1-1  Divisions of Administrative Areas in China (End of 2021), EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",1,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, (unit)",3,E01-01,2022
"Provinces, Autonomous Regions 
and Municipalities, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",4,E01-01,2022
"EMPTY, Number of, Cities at, Number of, Districts, Cities at, Counties, Auto-, Number of, Towns, Town-, Sub-",5,E01-01,2022
"EMPTY, Divisions at, Pre-, Divisions, under the, County, EMPTY, nomous, Divisions at, EMPTY, ships, districts",6,E01-01,2022
"EMPTY, Prefecture, fecture, at County, Jurisdiction, Level, EMPTY, Counties, Township, EMPTY, EMPTY, EMPTY",7,E01-01,2022
"EMPTY, Level, Level, Level, of Cities, EMPTY, EMPTY, EMPTY, Level, EMPTY, EMPTY, EMPTY",8,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",9,E01-01,2022
"National Total, 333.0, 293.0, 2843.0, 977.0, 394.0, 1301.0, 117.0, 38558.0, 21322.0, 8309.0, 8925.0",10,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",11,E01-01,2022
"Beijing, 0.0, 0.0, 16.0, 16.0, 0.0, 0.0, 0.0, 343.0, 143.0, 35.0, 165.0",12,E01-01,2022
"Tianjin, 0.0, 0.0, 16.0, 16.0, 0.0, 0.0, 0.0, 252.0, 125.0, 3.0, 124.0",13,E01-01,2022
"Hebei, 11.0, 11.0, 167.0, 49.0, 21.0, 91.0, 6.0, 2254.0, 1287.0, 656.0, 310.0",14,E01-01,2022
"Shanxi, 11.0, 11.0, 117.0, 26.0, 11.0, 80.0, 0.0, 1278.0, 631.0, 430.0, 217.0",15,E01-01,2022
"Inner Mongolia, 12.0, 9.0, 103.0, 23.0, 11.0, 17.0, 0.0, 1025.0, 509.0, 270.0, 246.0",16,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",17,E01-01,2022
"Liaoning, 14.0, 14.0, 100.0, 59.0, 16.0, 17.0, 8.0, 1354.0, 640.0, 201.0, 513.0",18,E01-01,2022
"Jilin, 9.0, 8.0, 60.0, 21.0, 20.0, 16.0, 3.0, 958.0, 426.0, 181.0, 351.0",19,E01-01,2022
"Heilongjiang, 13.0, 12.0, 121.0, 54.0, 21.0, 45.0, 1.0, 1316.0, 565.0, 336.0, 415.0",20,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",21,E01-01,2022
"Shanghai, 0.0, 0.0, 16.0, 16.0, 0.0, 0.0, 0.0, 215.0, 106.0, 2.0, 107.0",22,E01-01,2022
"Jiangsu, 13.0, 13.0, 95.0, 55.0, 21.0, 19.0, 0.0, 1237.0, 699.0, 19.0, 519.0",23,E01-01,2022
"Zhejiang, 11.0, 11.0, 90.0, 37.0, 20.0, 32.0, 1.0, 1364.0, 618.0, 258.0, 488.0",24,E01-01,2022
"Anhui, 16.0, 16.0, 104.0, 45.0, 9.0, 50.0, 0.0, 1512.0, 997.0, 239.0, 276.0",25,E01-01,2022
"Fujian, 9.0, 9.0, 84.0, 31.0, 11.0, 42.0, 0.0, 1102.0, 655.0, 252.0, 195.0",26,E01-01,2022
"Jiangxi, 11.0, 11.0, 100.0, 27.0, 12.0, 61.0, 0.0, 1570.0, 834.0, 562.0, 174.0",27,E01-01,2022
"Shandong, 16.0, 16.0, 136.0, 58.0, 26.0, 52.0, 0.0, 1825.0, 1072.0, 57.0, 696.0",28,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",29,E01-01,2022
"Henan, 17.0, 17.0, 157.0, 54.0, 21.0, 82.0, 0.0, 2457.0, 1178.0, 606.0, 673.0",30,E01-01,2022
"Hubei, 13.0, 12.0, 103.0, 39.0, 26.0, 35.0, 2.0, 1255.0, 761.0, 161.0, 333.0",31,E01-01,2022
"Hunan, 14.0, 13.0, 122.0, 36.0, 19.0, 60.0, 7.0, 1943.0, 1133.0, 389.0, 421.0",32,E01-01,2022
"Guangdong, 21.0, 21.0, 122.0, 65.0, 20.0, 34.0, 3.0, 1609.0, 1112.0, 11.0, 486.0",33,E01-01,2022
"Guangxi, 14.0, 14.0, 111.0, 41.0, 10.0, 48.0, 12.0, 1253.0, 806.0, 312.0, 135.0",34,E01-01,2022
"Hainan, 4.0, 4.0, 25.0, 10.0, 5.0, 4.0, 6.0, 218.0, 175.0, 21.0, 22.0",35,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",36,E01-01,2022
"Chongqing, 0.0, 0.0, 38.0, 26.0, 0.0, 8.0, 4.0, 1031.0, 625.0, 161.0, 245.0",37,E01-01,2022
"Sichuan, 21.0, 18.0, 183.0, 55.0, 19.0, 105.0, 4.0, 3101.0, 2016.0, 626.0, 459.0",38,E01-01,2022
"Guizhou, 9.0, 6.0, 88.0, 16.0, 10.0, 50.0, 11.0, 1509.0, 831.0, 314.0, 364.0",39,E01-01,2022
"Yunnan, 16.0, 8.0, 129.0, 17.0, 18.0, 65.0, 29.0, 1418.0, 665.0, 539.0, 214.0",40,E01-01,2022
"Tibet, 7.0, 6.0, 74.0, 8.0, 0.0, 66.0, 0.0, 699.0, 142.0, 534.0, 23.0",41,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",42,E01-01,2022
"Shaanxi, 10.0, 10.0, 107.0, 31.0, 7.0, 69.0, 0.0, 1316.0, 973.0, 17.0, 326.0",43,E01-01,2022
"Gansu, 14.0, 12.0, 86.0, 17.0, 5.0, 57.0, 7.0, 1356.0, 892.0, 337.0, 127.0",44,E01-01,2022
"Qinghai, 8.0, 2.0, 44.0, 7.0, 5.0, 25.0, 7.0, 404.0, 140.0, 222.0, 42.0",45,E01-01,2022
"Ningxia, 5.0, 5.0, 22.0, 9.0, 2.0, 11.0, 0.0, 242.0, 103.0, 90.0, 49.0",46,E01-01,2022
"Xinjiang, 14.0, 4.0, 107.0, 13.0, 28.0, 60.0, 6.0, 1142.0, 463.0, 468.0, 210.0",47,E01-01,2022
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",48,E01-01,2022
"Hong Kong, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",49,E01-01,2022
"Special Admini-, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",50,E01-01,2022
"strative Region, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",51,E01-01,2022
"Macao Special, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",52,E01-01,2022
"Administrative, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",53,E01-01,2022
"Region, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",54,E01-01,2022
