text,yearbook_source,section,group,row_id,is_title,is_empty,actual_label,original_index,label,label_type
"1-1 Divisions of Administrative Areas in China End of 2011, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,1,yes,no,title,0.0,title,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,2,no,yes,empty,1.0,empty,actual
"unit, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,3,no,no,metadata,2.0,metadata,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,4,no,yes,empty,3.0,empty,actual
"Provinces Autonomous , Number of, Cities, Number, Districts, Cities at, Counties, Auto-, Number of, Towns, Towns, EMPTY",2012,General Survey,B0101e,5,no,no,header,4.0,header,actual
"Regions and Municipalities, Regions at, at Pre-, of Regions, under the, County, EMPTY, nomous, Regions at, EMPTY, EMPTY, Street",2012,General Survey,B0101e,6,no,no,header,5.0,header,actual
"EMPTY, Prefecture, fecture, at, Juris-, Level, EMPTY, Counties, Town-, EMPTY, EMPTY, Commu-",2012,General Survey,B0101e,7,no,no,header,6.0,header,actual
"EMPTY, Level, Level, County, diction, EMPTY, EMPTY, EMPTY, ships, EMPTY, EMPTY, nities",2012,General Survey,B0101e,8,no,no,header,7.0,header,actual
"EMPTY, EMPTY, EMPTY, Level, of Cities, EMPTY, EMPTY, EMPTY, Level, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,9,no,no,header,8.0,header,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,10,no,yes,empty,9.0,empty,actual
"National Total, 332.0, 284.0, 2853.0, 857.0, 369.0, 1456.0, 117.0, 40466.0, 19683.0, 13587.0, 7194.0",2012,General Survey,B0101e,11,no,no,table_data,10.0,table_data,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,12,no,yes,empty,11.0,empty,actual
"Beijing, EMPTY, EMPTY, 16.0, 14.0, EMPTY, 2.0, EMPTY, 322.0, 144.0, 38.0, 140.0",2012,General Survey,B0101e,13,no,no,table_data,12.0,table_data,actual
"Tianjin, EMPTY, EMPTY, 16.0, 13.0, EMPTY, 3.0, EMPTY, 244.0, 123.0, 11.0, 110.0",2012,General Survey,B0101e,14,no,no,table_data,13.0,table_data,actual
"Hebei, 11.0, 11.0, 172.0, 36.0, 22.0, 108.0, 6.0, 2233.0, 1013.0, 946.0, 273.0",2012,General Survey,B0101e,15,no,no,table_data,14.0,table_data,actual
"Shanxi, 11.0, 11.0, 119.0, 23.0, 11.0, 85.0, EMPTY, 1397.0, 564.0, 632.0, 201.0",2012,General Survey,B0101e,16,no,no,table_data,15.0,table_data,actual
"Inner Mongolia, 12.0, 9.0, 101.0, 21.0, 11.0, 17.0, EMPTY, 909.0, 477.0, 192.0, 240.0",2012,General Survey,B0101e,17,no,no,table_data,16.0,table_data,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,18,no,yes,empty,17.0,empty,actual
"Liaoning, 14.0, 14.0, 100.0, 56.0, 17.0, 19.0, 8.0, 1508.0, 607.0, 290.0, 611.0",2012,General Survey,B0101e,19,no,no,table_data,18.0,table_data,actual
"Jilin, 9.0, 8.0, 60.0, 20.0, 20.0, 17.0, 3.0, 898.0, 428.0, 190.0, 280.0",2012,General Survey,B0101e,20,no,no,table_data,19.0,table_data,actual
"Heilongjiang, 13.0, 12.0, 128.0, 64.0, 18.0, 45.0, 1.0, 1278.0, 478.0, 417.0, 383.0",2012,General Survey,B0101e,21,no,no,table_data,20.0,table_data,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,22,no,yes,empty,21.0,empty,actual
"Shanghai, EMPTY, EMPTY, 17.0, 16.0, EMPTY, 1.0, EMPTY, 209.0, 108.0, 2.0, 99.0",2012,General Survey,B0101e,23,no,no,table_data,22.0,table_data,actual
"Jiangsu, 13.0, 13.0, 104.0, 55.0, 25.0, 24.0, EMPTY, 1300.0, 860.0, 96.0, 344.0",2012,General Survey,B0101e,24,no,no,table_data,23.0,table_data,actual
"Zhejiang, 11.0, 11.0, 90.0, 32.0, 22.0, 35.0, 1.0, 1346.0, 654.0, 290.0, 402.0",2012,General Survey,B0101e,25,no,no,table_data,24.0,table_data,actual
"Anhui, 16.0, 16.0, 105.0, 43.0, 6.0, 56.0, EMPTY, 1522.0, 914.0, 343.0, 265.0",2012,General Survey,B0101e,26,no,no,table_data,25.0,table_data,actual
"Fujian, 9.0, 9.0, 85.0, 26.0, 14.0, 45.0, EMPTY, 1102.0, 600.0, 329.0, 173.0",2012,General Survey,B0101e,27,no,no,table_data,26.0,table_data,actual
"Jiangxi, 11.0, 11.0, 100.0, 19.0, 11.0, 70.0, EMPTY, 1539.0, 794.0, 602.0, 143.0",2012,General Survey,B0101e,28,no,no,table_data,27.0,table_data,actual
"Shandong, 17.0, 17.0, 140.0, 49.0, 31.0, 60.0, EMPTY, 1857.0, 1118.0, 128.0, 611.0",2012,General Survey,B0101e,29,no,no,table_data,28.0,table_data,actual
"EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY",2012,General Survey,B0101e,30,no,yes,empty,29.0,empty,actual
"Henan, 17.0, 17.0, 159.0, 50.0, 21.0, 88.0, EMPTY, 2381.0, 1011.0, 852.0, 518.0",2012,General Survey,B0101e,31,no,no,table_data,30.0,table_data,actual
